Horodateur,From which Garden did you attend the CuttingGardens global program?,Where did you travel from? (City ; Country),How did you get to your local garden?,How did you leave your Garden?,Any other comment?
26/10/2023 15:22:43,Genova,Firenze ; Italy,Train,Train,Magic experience!
26/10/2023 15:31:32,Genova,Milan ; Italy,Train,Train,
26/10/2023 15:33:54,Genova,Verona ; Italy,Train,Train,
26/10/2023 15:36:11,Genova,Milano ; Italy,Car,Car,
26/10/2023 15:53:48,Genova,Genova ; italy,Car,Same as I came!,
26/10/2023 15:55:44,Frankfurt am Main,Berlin ; Germany,Train,Same as I came!,
26/10/2023 17:03:53,Genova,Padova ; Italy,Train,Same as I came!,
26/10/2023 17:36:57,Genova,Verona ; Italy,Train,Train,
26/10/2023 18:14:05,Tehran,Tehran ; Iran,Muscule-powered,Same as I came!,
26/10/2023 18:45:48,Tehran,Tehran ; Iran,Muscule-powered,Same as I came!,
26/10/2023 20:02:19,Tehran,Tehran ; iran,Car,Car,
26/10/2023 20:15:45,Genova,Pisa ; Italy,Train,Train,I really love the low impact of this year conference
26/10/2023 20:35:40,Genova,Rome ; Italy,Train,Same as I came!,
26/10/2023 23:13:24,Genova,Rovereto ; Italy,Train,Train,
27/10/2023 08:21:51,Genova,Lecco ; Italy ,Car,Car,
27/10/2023 08:46:36,Genova,Brescia ; Italy,Train,Train,
27/10/2023 09:36:28,Tehran,Tehran ; Iran,City bus / Intercity coach,Same as I came!,
27/10/2023 10:08:55,Genova,Turin ; Italy ,Train,Train,
27/10/2023 10:16:47,Genova,Rovereto ; Italy,Train,Train,It was well organised!
27/10/2023 10:43:05,Genova,Bologna ; Italy,Train,Same as I came!,
27/10/2023 11:14:32,Genova,Como ; Italy,Train,Car,I left the garden by car (shared with 3 colleagues).
27/10/2023 11:55:59,Genova,Lecco ; Italy,Car,Same as I came!,
27/10/2023 11:59:05,Tehran,Tehran ; Iran ,Car,Same as I came!,
27/10/2023 12:30:46,Genova,Rome ; Italy,Train,Same as I came!,
27/10/2023 12:31:28,Genova,Milan ; Italy,Train,Train,
27/10/2023 13:06:50,Genova,Lecco ; Italy,Train,Same as I came!,
30/10/2023 00:46:42,Genova,Padova ; Italia,Train,Same as I came!,
31/10/2023 12:44:44,Genova,Lecco ; Italy,Train,Same as I came!,
31/10/2023 13:54:42,Havana,Havana ; Cuba,City bus / Intercity coach,Same as I came!,
31/10/2023 17:28:05,Oro Verde,Paraná ; Argentina,City bus / Intercity coach,Same as I came!,
31/10/2023 17:45:02,Oro Verde,Oro verde ; Argentina ,Muscule-powered,Same as I came!,
31/10/2023 17:47:39,Oro Verde,Oro Verde ; Argentina ,Muscule-powered,Same as I came!,
31/10/2023 17:51:42,Oro Verde,Oro Verde ; Argentina ,Muscule-powered,Same as I came!,
31/10/2023 17:52:15,Oro Verde,Oro Verde ; Argentina ,Muscule-powered,Same as I came!,
31/10/2023 17:52:30,Oro Verde,Paraná ; Argentina ,Car,Car,
31/10/2023 17:52:45,Oro Verde,Buenos Aires ; Argentina,City bus / Intercity coach,Intercity coach,8 hours travel
